67,巴基斯坦,亚洲,"118.37亿 (11,837,177,725)"
68,芬兰,欧洲,"103.09亿 (10,309,164,187)"
69,玻利维亚,美洲,"89.3亿 (8,929,614,182)"
70,尼泊尔,亚洲,"83.35亿 (8,335,473,017)"
71,阿富汗,亚洲,"82.07亿 (8,206,682,106)"
72,肯尼亚,非洲,"81.64亿 (8,164,380,806)"
73,多米尼加,美洲,"77.18亿 (7,717,561,574)"
74,巴拉圭,美洲,"76.98亿 (7,697,884,446)"
75,希腊,欧洲,"75.79亿 (7,578,500,698)"
76,特立尼达和多巴哥,美洲,"75.75亿 (7,575,050,348)"
77,哥斯达黎加,美洲,"75.01亿 (7,500,924,411)"
78,白俄罗斯,欧洲,"71.58亿 (7,157,559,690)"
79,斯里兰卡,亚洲,"69.21亿 (6,920,825,566)"
80,波黑,欧洲,"68.08亿 (6,808,433,501)"
81,阿塞拜疆,亚洲,"66.66亿 (6,665,989,936)"
82,博茨瓦纳,非洲,"66.57亿 (6,656,913,637)"
83,毛里求斯,非洲,"63.53亿 (6,353,096,296)"
84,冰岛,欧洲,"63.21亿 (6,321,213,331)"
85,加纳,非洲,"62.95亿 (6,294,851,564)"
86,立陶宛,欧洲,"57.71亿 (5,770,956,096)"
87,突尼斯,非洲,"56.61亿 (5,661,370,258)"
88,缅甸,亚洲,"56.46亿 (5,646,407,387)"
89,斯洛伐克,欧洲,"52.29亿 (5,229,297,354)"
90,爱尔兰,欧洲,"52.23亿 (5,222,681,912)"
91,坦桑尼亚,非洲,"50.5亿 (5,049,646,420)"
92,洪都拉斯,美洲,"47.69亿 (4,769,082,161)"
93,拉脱维亚,欧洲,"43.71亿 (4,370,730,735)"
94,埃塞俄比亚,非洲,"39.87亿 (3,987,464,165)"
95,阿尔巴尼亚,欧洲,"38.94亿 (3,893,560,031)"
96,萨尔瓦多,美洲,"35.69亿 (3,568,810,597)"
97,蒙古,亚洲,"35.5亿 (3,549,666,961)"
98,牙买加,美洲,"35.32亿 (3,532,039,680)"
99,喀麦隆,非洲,"34.59亿 (3,459,329,760)"
100,文莱,亚洲,"34.07亿 (3,407,126,454)"
101,乌干达,非洲,"33.59亿 (3,358,514,649)"
102,格鲁吉亚,亚洲,"32.89亿 (3,289,463,516)"
103,马其顿,欧洲,"32.84亿 (3,284,003,546)"
104,莫桑比克,非洲,"32.58亿 (3,257,710,292)"
105,摩尔多瓦,欧洲,"29.95亿 (2,995,238,116)"
106,巴林,亚洲,"23.34亿 (2,334,278,370)"
107,也门,亚洲,"23.34亿 (2,333,656,100)"
108,海地,美洲,"22.74亿 (2,273,981,843)"
109,尼加拉瓜,美洲,"22.61亿 (2,261,143,360)"
110,亚美尼亚,亚洲,"22.59亿 (2,259,321,868)"
111,巴布亚新几内亚,大洋洲,"22.39亿 (2,239,395,527)"
112,厄瓜多尔,美洲,"21.59亿 (2,158,694,032)"
113,吉尔吉斯斯坦,亚洲,"21.57亿 (2,156,976,620)"
114,纳米比亚,非洲,"21.5亿 (2,149,813,974)"
115,巴拿马,美洲,"21.21亿 (2,121,303,718)"
116,马达加斯加,非洲,"17.4亿 (1,739,588,290)"
117,赞比亚,非洲,"15.69亿 (1,569,229,906)"
118,巴哈马,美洲,"13.45亿 (1,345,344,674)"
119,加蓬,非洲,"13.21亿 (1,321,051,088)"
120,塔吉克斯坦,亚洲,"12.84亿 (1,284,070,863)"
121,几内亚,非洲,"12.42亿 (1,242,328,572)"
122,黑山,欧洲,"12.02亿 (1,202,486,372)"
123,马耳他,欧洲,"10.25亿 (1,024,613,729)"
124,不丹,亚洲,"9.87亿 (987,247,035)"
125,老挝,亚洲,"9.8亿 (980,441,052)"
126,阿鲁巴,美洲,"9.8亿 (980,247,680)"
127,斐济群岛,大洋洲,"9.48亿 (947,653,331)"
128,卢森堡,欧洲,"9.39亿 (938,890,223)"
129,毛里塔尼亚,非洲,"9.34亿 (934,291,833)"
130,斯洛文尼亚,欧洲,"9.33亿 (933,092,542)"
131,塞浦路斯,欧洲,"9.24亿 (924,201,541)"
132,卢旺达,非洲,"9.09亿 (909,195,858)"
133,马拉维,非洲,"7.66亿 (766,154,761)"
134,爱沙尼亚,欧洲,"7.55亿 (755,005,588)"
135,莱索托,非洲,"7.29亿 (728,527,649)"
136,马尔代夫,亚洲,"7.12亿 (712,157,733)"
137,东帝汶,亚洲,"6.74亿 (673,903,564)"
138,刚果（金）,非洲,"6.65亿 (665,272,094)"
139,所罗门群岛,大洋洲,"6.17亿 (617,115,407)"
140,佛得角,非洲,"6.06亿 (606,430,600)"
141,苏里南,美洲,"5.81亿 (580,780,344)"
142,利比里亚,非洲,"5.63亿 (563,258,974)"
143,塞舌尔,非洲,"5.5亿 (549,521,831)"
144,巴勒斯坦,亚洲,"5.38亿 (537,846,124)"
145,巴巴多斯,美洲,"5.34亿 (533,906,813)"
146,圭亚那,美洲,"5.19亿 (518,509,369)"
147,塞拉利昂,非洲,"5.01亿 (501,210,759)"
148,吉布提,非洲,"4.54亿 (454,193,909)"
149,斯威士兰,非洲,"4.41亿 (440,685,903)"
150,刚果（布）,非洲,"4.24亿 (423,617,388)"
151,瓦努阿图,大洋洲,"4.21亿 (420,592,370)"
152,圣基茨和尼维斯,美洲,"3.63亿 (363,216,830)"
153,中非,非洲,"3.62亿 (361,797,180)"
154,圣马力诺,欧洲,"3.39亿 (338,957,476)"
155,安提瓜和巴布达,美洲,"3.29亿 (328,659,747)"
156,伯利兹,美洲,"2.94亿 (294,468,435)"
157,圣卢西亚,美洲,"2.86亿 (285,824,309)"
158,格林纳达,美洲,"2.34亿 (233,815,853)"
159,汤加,大洋洲,"2.15亿 (215,149,318)"
160,密克罗尼西亚联邦,大洋洲,"2.04亿 (203,528,219)"
161,科摩罗,非洲,"1.99亿 (199,213,183)"
162,冈比亚,非洲,"1.92亿 (191,773,260)"
163,多米尼克,美洲,"1.91亿 (191,323,608)"
164,圣文森特和格林纳丁斯,美洲,"1.7亿 (169,562,298)"
165,厄立特里亚,非洲,"1.63亿 (163,033,689)"
166,萨摩亚,大洋洲,"1.63亿 (162,559,147)"
167,开曼群岛,美洲,"1.62亿 (162,073,506)"
168,乍得,非洲,"1.48亿 (147,750,165)"
169,津巴布韦,非洲,"8695万 (86,951,094)"
170,布隆迪,非洲,"6813万 (68,126,200)"
171,赤道几内亚,非洲,"4893万 (48,929,813)"
172,圣多美和普林西比,非洲,"4368万 (43,683,545)"
173,南苏丹,非洲,"3640万 (36,396,368)"
